customer_id,customer_name,customer_address,customer_original_address_sap,customer_lat,customer_lon
cu_89fd03a885,( 산성점) 현대자동차,경기도 성남시 수정구 산성동 2176-1,경기도 성남시 수정구 2176-1,37.45061000,127.15207000
cu_bac23e872a,(1)민수용(서경환),경기도 과천시 주암동300번지,경기도 과천시 주암동300번지,1.00000000,1.00000000
cu_985c413547,(10)민수용(유범석),경기도 화성시 봉담읍 시청로 1311 사서함 601-206-19호 제8686부대,경기도 화성시 봉담읍 시청로 1311 사서함 601-206-19호 제8686부대,1.00000000,1.00000000
cu_04be5a95a1,(11)민수용(권도학),서울특별시 송파구 거여동 산7번지,서울특별시 송파구 거여동 산7번지,1.00000000,1.00000000
cu_354044cbba,(12)민수용(심재천),경기도 의정부시 신흥로119번지 21호,경기도 의정부시 신흥로119번지 21호,1.00000000,1.00000000
cu_745a9c8a91,(13)민수용(홍현걸),인천광역시 부평구 화랑로 119 송학사(산곡동 산 54-1),인천광역시 부평구 화랑로 119 송학사(산곡동 산 54-1),1.00000000,1.00000000
cu_faf13b38bb,(14)민수용(김근호),서울특별시 용산구 한강대로38길 21번지 범진사,서울특별시 용산구 한강대로38길 21번지 범진사,1.00000000,1.00000000
cu_e0c09c4b07,(15)민수용(정재복),강원도 강릉시 구정면 범일로 200 영동공사,강원도 강릉시 구정면 범일로 200 영동공사,1.00000000,1.00000000
cu_ff6b875bae,(16)민수용(박광수),충청북도 청주시 상당구 남일면 쌍수리 사서함3335-24호 공군사관학교,충청북도 청주시 상당구 남일면 쌍수리 사서함3335-24호 공군사관학교,1.00000000,1.00000000
cu_664611e772,(17)민수용(여준구),대전광역시 유성구 자운로 271 충남기무부대,대전광역시 유성구 자운로 271 충남기무부대,1.00000000,1.00000000
cu_1f946a4d46,(18)민수용(기용민),전라북도 전주시 덕진구 과학로 52,전라북도 전주시 덕진구 과학로 52,1.00000000,1.00000000
cu_0e190d750e,(19)민수용(김대현),광주광역시 북구 서하로 241 사서함85-21,광주광역시 북구 서하로 241 사서함85-21,1.00000000,1.00000000
cu_659753e73e,(2)민수용(허석철),충청남도 계룡시 신도안면 계룡대로 663(개나리 회관),충청남도 계룡시 신도안면 계룡대로 663(개나리 회관),1.00000000,1.00000000
cu_88f0fe4fe1,(20)민수용(전규호),경상남도 창원시 의창구 태복산로54번길 25 해양공사,경상남도 창원시 의창구 태복산로54번길 25 해양공사,1.00000000,1.00000000
cu_65523831f0,(21)민수용(박정환),부산광역시 해운대구 세실로 186,부산광역시 해운대구 세실로 186,1.00000000,1.00000000
cu_6686935b21,(22)민수용(전현채),제주특별자치도 제주시 종천길 75 국군 7527부대,제주특별자치도 제주시 종천길 75 국군 7527부대,1.00000000,1.00000000
cu_cd2bd164b9,(23)민수용(김종만),경기도 이천시 마장면 관리 414-3번지 국군6865부대,경기도 이천시 마장면 관리 414-3번지 국군6865부대,1.00000000,1.00000000
cu_0dd2b27118,(24)민수용(백종훈),경기도 고양시 덕양구 고양동 산 7번지 안보상담소,경기도 고양시 덕양구 고양동 산 7번지 안보상담소,1.00000000,1.00000000
cu_956b96cdd2,(25)민수용(김종기),강원도 춘천시 신동면 증리 1960-61번지 82정비대대 2군단 기무부대,강원도 춘천시 신동면 증리 1960-61번지 82정비대대 2군단 기무부대,1.00000000,1.00000000
cu_e65e39334b,(26)민수용(유상일),강원도 인제군 기린면 현5리 사서함 116-21호,강원도 인제군 기린면 현5리 사서함 116-21호,1.00000000,1.00000000
cu_1e1681a75e,(27)민수용(권성의),경기도 포천시 이동면 성장로 1156-40 5군단기무부대,경기도 포천시 일동면 성장로 1156-40 5군단기무부대,1.00000000,1.00000000
cu_fa32056a1a,(28)민수용(박홍수),경기도 포천시 호국로 1231 6군단 기무부대,경기도 포천시 호국로 1231 6군단 기무부대,1.00000000,1.00000000
cu_230d2ede4d,(29)민수용(원호영),경기도 안양시 동안구 평촌대로 487 수도군단 행정안내실,경기도 안양시 동안구 평촌대로 487 수도군단 행정안내실,1.00000000,1.00000000
cu_b10f7dc4e9,(3)민수용(김정현),충청남도 계룡시 신도안면 계룡대로663(개나리 회관),충청남도 계룡시 신도안면 계룡대로663(개나리 회관),1.00000000,1.00000000
cu_134be52d1f,(30)민수용(김재현),대구광역시 동구 아양로 352 사서함 304-301 국군 제6116부대,대구광역시 동구 아양로 352 사서함 304-301 국군 제6116부대,1.00000000,1.00000000
cu_40f45a4d15,(31)민수용(주유선),경기도 성남시 수정구 대왕판교로 1210 사서함 337-19,경기도 성남시 수정구 대왕판교로 1210 사서함 337-19,1.00000000,1.00000000
cu_06c5e86bf8,(32)민수용(박영일),경기도 가평군 조종면 청군로 1277,경기도 가평군 하면 청군로 1277,1.00000000,1.00000000
cu_6b329f2bc0,(33)민수용(최성영),경기도 파주시 파주읍 향교말길 30 안보상담소,경기도 파주시 파주읍 향교말길 30 안보상담소,1.00000000,1.00000000
cu_d3ade3ba33,(34)민수용(우성관),강원도 양구군 양구읍 박수근로 143-36 안보상담소,강원도 양구군 양구읍 박수근로 143-36 안보상담소,1.00000000,1.00000000
cu_e19820669e,(35)민수용(김방석),강원도 철원군 서면 태봉로 498-1,강원도 철원군 서면 태봉로 498-1,1.00000000,1.00000000
cu_631a4ec841,(36)민수용(김재익),경기도 연천군 청산면 백의리 100번지,경기도 연천군 청산면 백의리 100번지,1.00000000,1.00000000
cu_a35c25325f,(37)민수용(최성룡),강원도 철원군 동송읍 북원로 1175 안보상담소,강원도 철원군 동송읍 북원로 1175 안보상담소,1.00000000,1.00000000
cu_2d589bcc4c,(38)민수용(강민구),강원도 화천군 상서면 신대리 629-1,강원도 화천군 상서면 신대리 629-1,1.00000000,1.00000000
cu_684dd6d214,(39)민수용(차동일),경기도 포천시 이동면 새낭로 465-77,경기도 포천시 일동면 새낭로 465-77,1.00000000,1.00000000
cu_1e65d8dd8d,(4)민수용(김명진),충청남도 계룡시 신도안면 계룡대로663(개나리 회관),충청남도 계룡시 신도안면 계룡대로663(개나리 회관),1.00000000,1.00000000
cu_15ed7548f2,(40)민수용(김태욱),경기도 고양시 일산동구 풍동 198,경기도 고양시 일산동구 풍동 198,1.00000000,1.00000000
cu_01cb931fbf,(41)민수용(김진수),강원도 인제군 북면 원통로 251,강원도 인제군 북면 원통로 251,1.00000000,1.00000000
cu_23b09c1994,(42)민수용(이승종),강원도 화천군 사내면 수피령로 800 안보상담소,강원도 화천군 사내면 수피령로 800 안보상담소,1.00000000,1.00000000
cu_e002fcd852,(44)민수용(노재문),강원도 고성군 토성면 뒷골길115 화진공사,강원도 고성군 토성면 뒷골길115 화진공사,1.00000000,1.00000000
cu_9522ae01f3,(45)민수용(김성환),강원도 화천군 사내면 삼일리 441번지 제6867부대,강원도 화천군 사내면 삼일리 441번지 제6867부대,1.00000000,1.00000000
cu_f15c8621aa,(46)민수용(하정운),경기도 양주시 은현면 봉암리 199-1 안보상담소,경기도 양주시 은현면 봉암리 199-1 안보상담소,1.00000000,1.00000000
cu_fdfcb21dec,(47)민수용(김정민),경기도 고양시 덕양구 화전동 사서함 86-13호 안보상담소,경기도 고양시 덕양구 화전동 사서함 86-13호 안보상담소,1.00000000,1.00000000
cu_c479e87836,(48)민수용(이수종),경상북도 포항시 남구 동해안로 5961 안보상담소,경상북도 포항시 남구 오천읍 동해안로 5961 안보상담소,35.99150600,129.41376500
cu_2e2260c835,(49)민수용(이종원),경기도 김포시 양촌읍 향동로 61번지,경기도 김포시 양촌읍 향동로 61번지,37.62484900,126.63657800
cu_19e1bcac3d,(5)민수용(조창영),강원도 원주시 가현동 산1번지 502-20(가현동 우체국),강원도 원주시 가현동 산1번지 502-20(가현동 우체국),1.00000000,1.00000000
cu_2f904a44be,(50)민수용(북부지점),서울특별시 강북구 번동 433-2,서울특별시 강북구 번동 433-2,37.63507600,127.03300700
cu_2953a2f2c9,(51)민수용(택배창고),경기도 파주시 연다산동 45-1,경기도 파주시 연다산동 45-1,37.73456100,126.71214800
cu_49a6776a08,(6)민수용(김수민),대구광역시 수성구 무열로 56번지 사서함 503-100호,대구광역시 수성구 무열로 56번지 사서함 503-100호,1.00000000,1.00000000
cu_82a9ddfcf0,(7)민수용(장수한),경기도 용인시 처인구 상선로 57번지 8922부대,경기도 용인시 처인구 상선로 57번지 8922부대,1.00000000,1.00000000
cu_45a7ae70c7,(8)민수용(조용래),경상남도 창원시 진해구 충장로 10-30번지 3504,경상남도 창원시 진해구 충장로 10-30번지 3504,1.00000000,1.00000000
cu_a56d02e8ff,(9)민수용(김정우),경기도 평택시 신장로 55 사서함309-6호 국군 제7072부대,경기도 평택시 신장로 55 사서함309-6호 국군 제7072부대,1.00000000,1.00000000
