link_id,source_row_no,warehouse_id,customer_id,warehouse_name,customer_name,origin_lat,origin_lon,destination_lat,destination_lon
od_000001,1,wh_bfbb93d056,cu_f5417d7669,양산RDC,현대자동차㈜ 울산공장,35.50868000,129.09203000,35.53820000,129.38559000
od_000002,2,wh_a616cd7f6a,cu_e7f1505d3f,평택RDC,현대자동차㈜ 남양,36.95214000,126.85184000,37.15663000,126.81524000
od_000003,3,wh_a616cd7f6a,cu_b512640a1b,평택RDC,현대위아(주)서산공장,36.95214000,126.85184000,36.83184000,126.48002200
od_000004,4,wh_fcbbc00221,cu_fb29193c62,언양RDC,한국지엠 (주),35.50868000,129.09203000,37.50916000,126.71144000
od_000005,5,wh_a616cd7f6a,cu_673736e36e,평택RDC,케이지모빌리티 주식회사 (KG Mobility Corp,36.95214000,126.85184000,37.02843000,127.09297000
od_000006,6,wh_a616cd7f6a,cu_2a914ce97d,평택RDC,케이지모빌리티(주)천안물류센타,36.95214000,126.85184000,36.89344000,127.19230000
od_000007,7,wh_a616cd7f6a,cu_d9bab8028e,평택RDC,현대위아(주)화성공장,36.95214000,126.85184000,37.30914000,126.74191000
od_000008,8,wh_3ffb248ed9,cu_a23d768a08,양지RDC,타이어월드연합회주식회사,37.18870000,127.32620000,37.25205000,126.98644000
od_000009,9,wh_bfbb93d056,cu_52aa83acf4,양산RDC,(주)타이어빅마트,35.50868000,129.09203000,35.22686000,129.09002000
od_000010,10,wh_c6e9f718d4,cu_0e4d160b8e,대전RDC,타이어캠프주식회사,36.37282000,127.40847000,36.30926000,127.37142000
od_000011,11,wh_81796e2ca5,cu_85bb5f934b,광주RDC,(유)타이어백화점,35.19687000,126.79322000,35.84258000,127.12183000
od_000012,12,wh_4d084acb39,cu_568c7430df,시흥RDC,(주)W.A.K,37.34485000,126.71229000,37.58386000,126.89263000
od_000013,13,wh_4d084acb39,cu_0a9379849f,시흥RDC,크라운타이어(주)한남점,37.34485000,126.71229000,37.52999000,127.00651000
od_000014,14,wh_4d084acb39,cu_ab4b6ec232,시흥RDC,SP타이어,37.34485000,126.71229000,37.47816000,127.04751000
od_000015,15,wh_4d084acb39,cu_9912b9c20a,시흥RDC,AUTO매니저,37.34485000,126.71229000,37.50760000,127.03635000
od_000016,16,wh_4d084acb39,cu_c325064c29,시흥RDC,㈜오토매니저,37.34485000,126.71229000,37.48131000,127.04198000
od_000017,17,wh_4d084acb39,cu_3f54d7262c,시흥RDC,쌍용서비스프라자서초코너,37.34485000,126.71229000,37.48980000,127.02015000
od_000018,18,wh_4d084acb39,cu_54ae7df3b2,시흥RDC,넥센타이어 서초대리점,37.34485000,126.71229000,37.48414000,127.00815000
od_000019,19,wh_3ffb248ed9,cu_ed667a5e2b,양지RDC,만도카모터스,37.18870000,127.32620000,37.50298000,127.08724000
od_000020,20,wh_3ffb248ed9,cu_12d5cba11a,양지RDC,한국오토마스타,37.18870000,127.32620000,37.49625000,127.12509000
od_000021,21,wh_3ffb248ed9,cu_1efc512528,양지RDC,디에이치상사,37.18870000,127.32620000,37.49962000,127.10214000
od_000022,22,wh_3ffb248ed9,cu_f56ae59ad7,양지RDC,넥센 송파대리점,37.18870000,127.32620000,37.48560000,127.12451000
od_000023,23,wh_3ffb248ed9,cu_83cfef1972,양지RDC,하이카프라자풍납점(사용금지),37.18870000,127.32620000,37.52998000,127.11999000
od_000024,24,wh_e15778e6d2,cu_3662a53e4f,강릉RDC,타이어뱅크 강릉점,37.69426000,128.89691000,37.75757000,128.89195000
od_000025,25,wh_e15778e6d2,cu_7dfc91c606,강릉RDC,타이어뱅크 포남점,37.69426000,128.89691000,37.76609000,128.91075000
od_000026,26,wh_e15778e6d2,cu_65506c5e19,강릉RDC,도일타이어,37.69426000,128.89691000,37.77277000,128.91333000
od_000027,27,wh_e15778e6d2,cu_ad72ce47b8,강릉RDC,극동카세차장,37.69426000,128.89691000,37.77277000,128.91333000
od_000028,28,wh_e15778e6d2,cu_3dfd830a01,강릉RDC,타이어마트,37.69426000,128.89691000,37.76271000,128.89972000
od_000029,29,wh_e15778e6d2,cu_16b385d0de,강릉RDC,타이어메디컬,37.69426000,128.89691000,37.77415000,128.91300000
od_000030,30,wh_e15778e6d2,cu_c879883ce0,강릉RDC,붕붕카센타,37.69426000,128.89691000,37.77004000,128.89596000
od_000031,31,wh_e15778e6d2,cu_e4caa69dee,강릉RDC,신용모터스,37.69426000,128.89691000,37.76300000,128.87344000
od_000032,32,wh_e15778e6d2,cu_9be23a8054,강릉RDC,타이어테크 강릉점,37.69426000,128.89691000,37.76338000,128.90076000
od_000033,33,wh_e15778e6d2,cu_348b579791,강릉RDC,타이어테크 성덕점,37.69426000,128.89691000,37.75108000,128.91231000
od_000034,34,wh_e15778e6d2,cu_f320e492eb,강릉RDC,타이어백화점,37.69426000,128.89691000,37.75715000,128.89822000
od_000035,35,wh_e15778e6d2,cu_bf3557708a,강릉RDC,대동카센타,37.69426000,128.89691000,37.61223000,129.03779000
od_000036,36,wh_e15778e6d2,cu_301020d76f,강릉RDC,굴렁쇠 카마스터,37.69426000,128.89691000,37.76282000,128.88643000
od_000037,37,wh_e15778e6d2,cu_929df2f662,강릉RDC,경포운수(주),37.69426000,128.89691000,37.88535000,128.82408000
od_000038,38,wh_e15778e6d2,cu_40b641fcf0,강릉RDC,(합)승진운수,37.69426000,128.89691000,37.60206000,129.02789000
od_000039,39,wh_e15778e6d2,cu_908281c8b7,강릉RDC,(주)명주택시,37.69426000,128.89691000,37.88520020,128.82039800
od_000040,40,wh_e15778e6d2,cu_7f4da5042a,강릉RDC,타이어마트 강릉,37.69426000,128.89691000,37.74898000,128.91156000
od_000041,41,wh_e15778e6d2,cu_d27e9b0b5f,강릉RDC,(주)덕진운수,37.69426000,128.89691000,37.76617000,128.91289000
od_000042,42,wh_e15778e6d2,cu_20dd09a51e,강릉RDC,청간정자동차정비,37.69426000,128.89691000,38.26632000,128.55525000
od_000043,43,wh_e15778e6d2,cu_c003e6ae18,강릉RDC,한국타이어 백두산대리점,37.69426000,128.89691000,38.38812000,128.45870000
od_000044,44,wh_e15778e6d2,cu_89e2375069,강릉RDC,(합명)금강택시,37.69426000,128.89691000,38.20701000,128.59185000
od_000045,45,wh_e15778e6d2,cu_2b491807c8,강릉RDC,고성택시㈜,37.69426000,128.89691000,38.20701000,128.59185000
od_000046,46,wh_e15778e6d2,cu_34eeb0d472,강릉RDC,으뜸카서비스,37.69426000,128.89691000,37.51938000,129.11434000
od_000047,47,wh_e15778e6d2,cu_1e3ee0b888,강릉RDC,타이어뱅크 동해점,37.69426000,128.89691000,37.49213000,129.11117000
od_000048,48,wh_e15778e6d2,cu_76dfce9911,강릉RDC,타이어테크,37.69426000,128.89691000,37.49785000,129.11109000
od_000049,49,wh_e15778e6d2,cu_145c51eea5,강릉RDC,영일수입중고타이어,37.69426000,128.89691000,37.47489000,129.12437000
od_000050,50,wh_e15778e6d2,cu_facdbdaf62,강릉RDC,중앙운수(주),37.69426000,128.89691000,37.48104020,129.11072600
od_000051,51,wh_e15778e6d2,cu_4cb8e27a74,강릉RDC,덕재운송(주),37.69426000,128.89691000,37.49963000,129.12934000
od_000052,52,wh_e15778e6d2,cu_a20a6a01f3,강릉RDC,지원운수(주),37.69426000,128.89691000,37.49727000,129.11203000
od_000053,53,wh_e15778e6d2,cu_3c2f4a14b3,강릉RDC,덕흥운송 주식회사,37.69426000,128.89691000,37.49963000,129.12934000
od_000054,54,wh_e15778e6d2,cu_7230fe31ec,강릉RDC,삼성운수(유),37.69426000,128.89691000,37.48372000,129.12501000
od_000055,55,wh_e15778e6d2,cu_99f64c1bc4,강릉RDC,(자)시민택시,37.69426000,128.89691000,37.50226000,129.12740000
od_000056,56,wh_e15778e6d2,cu_a4d73bb2db,강릉RDC,명신운수(주),37.69426000,128.89691000,37.54572000,129.09599000
od_000057,57,wh_e15778e6d2,cu_094c89b254,강릉RDC,홍진운수(주),37.69426000,128.89691000,37.50227000,129.10047000
od_000058,58,wh_e15778e6d2,cu_8af764b58a,강릉RDC,삼안운수(주),37.69426000,128.89691000,37.53825000,129.08002000
od_000059,59,wh_e15778e6d2,cu_93fe02040e,강릉RDC,모범카인테리어,37.69426000,128.89691000,37.23252000,129.03775000
od_000060,60,wh_e15778e6d2,cu_09efe55904,강릉RDC,타이어박사 속초점,37.69426000,128.89691000,38.19417000,128.57201000
od_000061,61,wh_e15778e6d2,cu_e4a05e0ecc,강릉RDC,부영서비스프라자,37.69426000,128.89691000,38.19177000,128.57836000
od_000062,62,wh_e15778e6d2,cu_fd53f1974e,강릉RDC,현대카매니저,37.69426000,128.89691000,38.18955000,128.57609000
od_000063,63,wh_e15778e6d2,cu_550d8404a0,강릉RDC,타이어뱅크 속초점,37.69426000,128.89691000,38.19347000,128.57817000
od_000064,64,wh_e15778e6d2,cu_396ca7fa6c,강릉RDC,진성중고타이어,37.69426000,128.89691000,38.18631000,128.59934000
od_000065,65,wh_e15778e6d2,cu_a206ac87b6,강릉RDC,금호타이어 속초영업소,37.69426000,128.89691000,38.19795000,128.58181000
od_000066,66,wh_e15778e6d2,cu_67a5c7b4a6,강릉RDC,금호타이어 동부대리점,37.69426000,128.89691000,38.19394000,128.57817000
od_000067,67,wh_e15778e6d2,cu_4e219f1d2b,강릉RDC,(자)유일택시,37.69426000,128.89691000,38.19647000,128.57837000
od_000068,68,wh_e15778e6d2,cu_cd7d9f6e61,강릉RDC,(주)동도택시,37.69426000,128.89691000,38.19137000,128.59815000
od_000069,69,wh_e15778e6d2,cu_5397aa5245,강릉RDC,학산교통(합),37.69426000,128.89691000,38.19126000,128.54837000
od_000070,70,wh_e15778e6d2,cu_fc0572904c,강릉RDC,(자)대명운수,37.69426000,128.89691000,38.18629000,128.55310000
