warehouse_id,warehouse_name,warehouse_address,warehouse_lat,warehouse_lon
wh_e15778e6d2,강릉RDC,강원도 강릉시 구정면 어단리 478-92,37.69426000,128.89691000
wh_81796e2ca5,광주RDC,광주광역시 광산구 오선동 567,35.19687000,126.79322000
wh_823365dea8,김해CDC,경상남도 김해시 상동면 상동로 680-33,35.31323700,128.94326400
wh_02a51dc8c8,대구RDC,경북 경산시 진량읍 신상리 1187-3,35.87466000,128.83482000
wh_c6e9f718d4,대전RDC,대전광역시 대덕구 대화동 40-30,36.37282000,127.40847000
wh_4d084acb39,시흥RDC,경기도 시흥시 정왕동 1245-8,37.34485000,126.71229000
wh_bfbb93d056,양산RDC,울산광역시 울주군 삼남읍 방기리 42-1,35.50868000,129.09203000
wh_3ffb248ed9,양지RDC,경기도 용인시 원삼면 좌항리 446,37.18870000,127.32620000
wh_4ca9788ae7,언양CDC,울산광역시 울주군 삼남면 하방로 77,35.50868000,129.09203000
wh_fcbbc00221,언양RDC,울산광역시 울주군 삼남읍 방기리 42-1,35.50868000,129.09203000
wh_1e8502e40e,인천RDC,인천광역시 중구 항동7가 34-1,37.58145000,126.60215000
wh_dd5949aedd,제주RDC,제주특별자치도 제주시 화북1동 2130-8번지,33.51381000,126.56252000
wh_a616cd7f6a,평택RDC,경기도 평택시 포승읍 만호리 663번지 (평택RDC),36.95214000,126.85184000
